Course,City,ZIP,Yardage_Back_Tees,Slope_Back_Tees,Location (Inferred Region),Photo,
The Executive Golf Course,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Founders Club at Pawleys Island,Pawleys Island,29585,7000,136,Pawleys Island (Hammock Coast),nophoto.png,
The Golf Club at Hampton Yard,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Golf Club at Hilton Head Lakes,Hardeeville,29927,6800,131,Hardeeville (Hilton Head Area),nophoto.png,
The Golf Club of South Carolina at Crickentree,Blythewood,29016,6600,125,Blythewood (Columbia - Lake Murray Country),nophoto.png,
The Golf Course at Star Fort,Starr,29684,6400,122,Ninety Six (Lakelands Region),nophoto.png,
The Golf Professionals Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Heritage Club,Pawleys Island,29585,7100,138,Pawleys Island (Hammock Coast),nophoto.png,
The Hollow Creek Course at Woodside Plantation,Aiken,29803,6800,129,Aiken (Thoroughbred Country),nophoto.png,
The Kiawah Island Club Cassique Course,Kiawah Island,29455,7300,149,Kiawah Island,nophoto.png,
The Legends at Parris Island,Beaufort,29902,6500,126,Parris Island (Hilton Head Area),nophoto.png,
The Links at Stoney Point,Greenwood,29649,6900,133,Greenwood (Lakelands Region),nophoto.png,
The Melrose Club Golf Course,Daufuskie Island,29915,7100,140,Daufuskie Island (Hilton Head Area),nophoto.png,
The Ocean Course at Kiawah Island Golf Resort,Kiawah Island,29455,7195,144,Kiawah Island,nophoto.png,
The Palms Course at Oakdale,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Plantation Course at Edisto,Edisto Island,29456,6700,128,Edisto Island (Charleston Area),nophoto.png,
The Preserve at Verdae,Greenville,29607,7200,143,Greenville (Upcountry),nophoto.png,
The Reserve Course at Woodside Plantation,Aiken,29803,6900,132,Aiken (Thoroughbred Country),nophoto.png,
The Reserve Golf Club,Pawleys Island,29585,6800,130,Pawleys Island (Hammock Coast),nophoto.png,
The River Club,Pawleys Island,29585,6800,130,Pawleys Island (Hammock Coast),nophoto.png,
The Rock at Jocassee,Pickens,29671,7000,137,Pickens (Upcountry),nophoto.png,
The Spur at Northwoods Golf Course,Columbia,29212,6500,123,Columbia (Columbia - Lake Murray Country),nophoto.png,
The Traces Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Waterford Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Wellman Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
The Witch Golf Links,Conway,29526,6600,125,Conway (Myrtle Beach Area),nophoto.png,
The Wizard Golf Course,Myrtle Beach,29577,6700,126,Myrtle Beach,nophoto.png,
The Woodlands Golf and Country Club,Columbia,29210,6800,129,Columbia (Columbia - Lake Murray Country),nophoto.png,
Thornblade Club,Greer,29650,7200,142,Greer (Upcountry),nophoto.png,
Three Pines Country Club,Woodruff,29388,6400,121,Woodruff (Upstate SC),nophoto.png,
Three Springs Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Tidewater Golf Club,Little River,29566,7195,144,Little River (Myrtle Beach Area),nophoto.png,
Timberlake Country Club,Chapin,29036,6700,128,Chapin (Columbia - Lake Murray Country),nophoto.png,
TPC Myrtle Beach,Murrells Inlet,29576,6950,145,Murrells Inlet (Myrtle Beach Area),nophoto.png,
Tradition Golf Club,Pawleys Island,29585,7100,138,Pawleys Island (Hammock Coast),nophoto.png,
True Blue Golf Club,Pawleys Island,29585,7100,139,Pawleys Island (Hammock Coast),nophoto.png,
Turtle Point Golf Course at Kiawah Island Resort,Kiawah Island,29455,6885,137,Kiawah Island,nophoto.png,
Twin Lakes Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Village Greens Golf & Country Club,Inman,29349,6500,123,Inman (Upstate SC),nophoto.png,
Wachesaw East,Murrells Inlet,29576,6400,121,Murrells Inlet (Myrtle Beach Area),nophoto.png,
Wachesaw Plantation Club,Murrells Inlet,29576,6700,127,Murrells Inlet (Myrtle Beach Area),nophoto.png,
Walker Golf Course - Clemson University,Clemson,29634,6800,130,Clemson (Upcountry),nophoto.png,
Ware Shoals Golf Course,Ware Shoals,29693,6200,118,Ware Shoals (Lakelands Region),nophoto.png,
Waterway Hills Golf Course,Myrtle Beach,29588,6300,120,Myrtle Beach,nophoto.png,
Wedgefield Plantation Golf Course,Georgetown,29440,6700,128,Georgetown (Hammock Coast),nophoto.png,
Wescott Golf Club,North Charleston,29420,6800,131,North Charleston (Charleston Area),nophoto.png,
Wexford Golf Club,Hilton Head Island,29928,6900,134,Hilton Head Island,nophoto.png,
Whispering Pines Golf Course,Myrtle Beach,29579,6500,122,Myrtle Beach,nophoto.png,
White Pines Golf Course,Camden,29020,6400,121,Camden (Olde English District),nophoto.png,
White Plains Country Club,Pageland,29728,6300,119,Pageland (Olde English District),nophoto.png,
Wicked Stick Links,Myrtle Beach,29588,6600,124,Myrtle Beach,nophoto.png,
Wild Dunes Resort,Isle of Palms,29451,7200,141,Isle of Palms (Charleston Area),nophoto.png,
Wild Wing Plantation - Avocet,Conway,29526,6500,123,Conway (Myrtle Beach Area),nophoto.png,
Wild Wing Plantation - Hummingbird,Conway,29526,6700,126,Conway (Myrtle Beach Area),nophoto.png,
WildeWood Country Club,Columbia,29223,6800,130,Columbia (Columbia - Lake Murray Country),nophoto.png,
Willbrook Golf Club,Pawleys Island,29585,6900,133,Pawleys Island (Hammock Coast),nophoto.png,
Williston Country Club,Williston,29853,6200,118,Williston (Thoroughbred Country),nophoto.png,
Willow Creek Golf Course,Greer,29650,6400,121,Greer (Upcountry),nophoto.png,
Windermere Golf Club,Blythewood,29016,7000,135,Blythewood (Columbia - Lake Murray Country),nophoto.png,
Windy Hill Golf Hill Par 3,North Myrtle Beach,29582,1500 (Par 3),113,North Myrtle Beach,nophoto.png,
Woodcreek Farms Country Club,Elgin,29045,6900,132,Elgin (Columbia - Lake Murray Country),nophoto.png,
Woodhaven Golf Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Woodside Plantation Country Club,Aiken,29803,6800,129,Aiken (Thoroughbred Country),nophoto.png,
Wyboo Golf Club,Manning,29102,6400,122,Manning (Santee),nophoto.png,
Yeamans Hall Country Club,Hanahan,29410,7200,144,Hanahan (Charleston Area),nophoto.png,
Pine Valley Golf Club,Pine Valley,8021,7057,,,,NJ
Augusta National Golf Club,Augusta,30904,7475,,,,GA
Cypress Point Club,Pebble Beach,93953,6524,,,,CA
Shinnecock Hills Golf Club,Southampton,11968,7445,,,,NY
Oakmont Country Club,Oakmont,15139,7255,,,,PA
Merion Golf Club,Ardmore,19003,6996,,,,PA
Pebble Beach Golf Links,Pebble Beach,93953,7075,,,,CA
National Golf Links of America,Southampton,11968,6820,,,,NY
Sand Hills Golf Club,Mullen,69152,7089,,,,NE
Fishers Island Club,Fishers Island,6390,6566,,,,NY
Winged Foot Golf Club (West),Mamaroneck,10543,7477,,,,NY
Crystal Downs Country Club,Frankfort,49635,6518,,,,MI
Chicago Golf Club,Wheaton,60187,6927,,,,IL
Los Angeles Country Club (North),Los Angeles,90024,7421,,,,CA
Pacific Dunes,Bandon,97411,6633,,,,OR
Friar's Head,Riverhead,11901,7049,,,,NY
Oakland Hills Country Club (South),Bloomfield Hills,48301,7445,,,,MI
Maidstone Club,East Hampton,11937,6781,,,,NY
Seminole Golf Club,Juno Beach,33408,6836,,,,FL
Riviera Country Club,Pacific Palisades,90272,7322,,,,CA
Prairie Dunes Country Club,Hutchinson,67502,7393,,,,KS
Quaker Ridge Golf Club,Scarsdale,10583,7008,,,,NY
The Country Club,Brookline,2467,7264,,,,MA
Baltusrol Golf Club (Lower),Springfield,7081,7400,,,,NJ
Whistling Straits (Straits),Kohler,53044,7790,,,,WI
Bandon Dunes,Bandon,97411,6732,,,,OR
Kiawah Island Ocean Course,Kiawah Island,29455,7876,,,,SC
Bethpage Black,Farmingdale,11735,7468,,,,NY
Shadow Creek,Las Vegas,89081,7560,,,,NV
Spyglass Hill Golf Course,Pebble Beach,93953,7041,,,,CA
Torrey Pines South,La Jolla,92037,7698,,,,CA
Pinehurst No. 2,Pinehurst,28374,7588,,,,NC
Oak Hill Country Club (East),Rochester,14618,7394,,,,NY
Inverness Club,Toledo,43615,7730,,,,OH
Southern Hills Country Club,Tulsa,74136,7481,,,,OK
Muirfield Village Golf Club,Dublin,43017,7392,,,,OH
Medinah Country Club No. 3,Medinah,60157,7657,,,,IL
Olympic Club (Lake),San Francisco,94132,7270,,,,CA
Cherry Hills Country Club,Cherry Hills Village,80113,7466,,,,CO
Aronimink Golf Club,Newtown Square,19073,7267,,,,PA
East Lake Golf Club,Atlanta,30317,7346,,,,GA
Quail Hollow Club,Charlotte,28210,7558,,,,NC
Yale Golf Course,New Haven,6515,6749,,,,CT
Sleepy Hollow Country Club,Scarborough,10510,7081,,,,NY
San Francisco Golf Club,San Francisco,94132,6934,,,,CA
Pasatiempo Golf Club,Santa Cruz,95060,6500,,,,CA
California Golf Club of San Francisco,South San Francisco,94080,7004,,,,CA
Somerset Hills Country Club,Bernardsville,7924,6784,,,,NJ
Camargo Club,Cincinnati,45243,6698,,,,OH
Garden City Golf Club,Garden City,11530,6926,,,,NY
Shoreacres,Lake Bluff,60044,6521,,,,IL
Old Town Club,Winston-Salem,27106,6982,,,,NC
The Golf Club,New Albany,43054,7042,,,,OH
Bandon Trails,Bandon,97411,6788,,,,OR
Old Macdonald,Bandon,97411,6671,,,,OR
Erin Hills,Erin,53027,7731,,,,WI
Chambers Bay,University Place,98467,7585,,,,WA
Streamsong Red,Bowling Green,33834,7148,,,,FL
Streamsong Blue,Bowling Green,33834,7176,,,,FL
Streamsong Black,Bowling Green,33834,7352,,,,FL
TPC Sawgrass (Stadium),Ponte Vedra Beach,32082,7245,,,,FL
Harbour Town Golf Links,Hilton Head Island,29928,7099,,,,SC
Bay Hill Club & Lodge,Orlando,32819,7381,,,,FL
TPC Scottsdale (Stadium),Scottsdale,85255,7261,,,,AZ
Sea Island Golf Club (Seaside),St. Simons Island,31522,7005,,,,GA
Colonial Country Club,Fort Worth,76109,7209,,,,TX
Firestone Country Club (South),Akron,44319,7400,,,,OH
Bellerive Country Club,Town and Country,63141,7547,,,,MO
Hazeltine National Golf Club,Chaska,55318,7628,,,,MN
Congressional Country Club (Blue),Bethesda,20817,7574,,,,MD
Crooked Stick Golf Club,Carmel,46032,7316,,,,IN
Doral Blue Monster,Miami,33178,7543,,,,FL
TPC San Antonio (Oaks),San Antonio,78261,7435,,,,TX
TPC River Highlands,Cromwell,6416,6844,,,,CT
TPC Boston,Norton,2766,7207,,,,MA
TPC Deere Run,Silvis,61282,7257,,,,IL
TPC Summerlin,Las Vegas,89134,7243,,,,NV
TPC Twin Cities,Blaine,55449,7468,,,,MN
TPC Louisiana,Avondale,70094,7341,,,,LA
TPC Craig Ranch,McKinney,75070,7438,,,,TX
PGA National (Champion),Palm Beach Gardens,33418,7045,,,,FL
The Greenbrier (Old White),White Sulphur Springs,24986,7287,,,,WV
Sedgefield Country Club,Greensboro,27407,7127,,,,NC
Tobacco Road Golf Club,Sanford,27332,7200,,,,NC
Pinehurst No. 4,Pinehurst,28374,7334,,,,NC
Caledonia Golf & Fish Club,Pawleys Island,29585,6526,,,,SC
True Blue Golf Club,Pawleys Island,29585,7126,,,,SC
Grande Dunes Resort Course,Myrtle Beach,29572,7029,,,,SC
TPC Myrtle Beach,Murrells Inlet,29576,6950,,,,SC
Tidewater Golf Club,North Myrtle Beach,29582,7078,,,,SC
The Dunes Golf & Beach Club,Myrtle Beach,29572,7305,,,,SC
Barefoot Resort (Norman),North Myrtle Beach,29582,6901,,,,SC
Barefoot Resort (Love),North Myrtle Beach,29582,7047,,,,SC
Barefoot Resort (Fazio),North Myrtle Beach,29582,6834,,,,SC
Barefoot Resort (Dye),North Myrtle Beach,29582,7343,,,,SC
Prestwick Country Club,Myrtle Beach,29575,7086,,,,SC
Blackmoor Golf Club,Murrells Inlet,29576,6614,,,,SC
Glen Dornoch Waterway,Little River,29566,6890,,,,SC
Leopard's Chase Golf Club,Ocean Isle Beach,28469,7069,,,,NC
Rivers Edge Golf Club,Shallotte,28470,6909,,,,NC
